date,score,rating
2019-01-02,12.0,Extreme Fear
2019-01-03,10.0,Extreme Fear
2019-01-04,16.0,Extreme Fear
2019-01-07,19.0,Extreme Fear
2019-01-08,24.0,Extreme Fear
2019-01-09,27.0,Fear
2019-01-10,31.0,Fear
2019-01-11,30.0,Fear
2019-01-14,28.0,Fear
2019-01-15,31.0,Fear
2019-01-16,38.0,Fear
2019-01-17,44.0,Fear
2019-01-18,51.0,Greed
2019-01-22,51.0,Greed
2019-01-23,55.0,Greed
2019-01-24,58.0,Greed
2019-01-25,58.0,Greed
2019-01-28,55.0,Greed
2019-01-29,55.0,Greed
2019-01-30,58.0,Greed
2019-01-31,60.0,Greed
2019-02-01,61.0,Greed
2019-02-04,64.0,Greed
2019-02-05,64.0,Greed
2019-02-06,65.0,Greed
2019-02-07,62.0,Greed
2019-02-08,61.0,Greed
2019-02-11,62.0,Greed
2019-02-12,67.0,Greed
2019-02-13,67.0,Greed
2019-02-14,65.0,Greed
2019-02-15,70.0,Greed
2019-02-19,68.0,Greed
2019-02-20,70.0,Greed
2019-02-21,68.0,Greed
2019-02-22,69.0,Greed
2019-02-25,70.0,Greed
2019-02-26,70.0,Greed
2019-02-27,72.0,Greed
2019-02-28,72.0,Greed
2019-03-01,72.0,Greed
2019-03-04,66.0,Greed
2019-03-05,66.0,Greed
2019-03-06,63.0,Greed
2019-03-07,59.0,Greed
2019-03-08,55.0,Greed
2019-03-11,59.0,Greed
2019-03-12,58.0,Greed
2019-03-13,60.0,Greed
2019-03-14,60.0,Greed
2019-03-15,65.0,Greed
2019-03-18,65.0,Greed
2019-03-19,67.0,Greed
2019-03-20,62.0,Greed
2019-03-21,68.0,Greed
2019-03-22,59.0,Greed
2019-03-25,56.0,Greed
2019-03-26,54.0,Greed
2019-03-27,51.0,Greed
2019-03-28,48.0,Fear
2019-03-29,49.0,Fear
2019-04-01,54.0,Greed
2019-04-02,56.0,Greed
2019-04-03,62.0,Greed
2019-04-04,70.0,Greed
2019-04-05,74.0,Greed
2019-04-08,74.0,Greed
2019-04-09,70.0,Greed
2019-04-10,69.0,Greed
2019-04-11,68.0,Greed
2019-04-12,74.0,Greed
2019-04-15,68.0,Greed
2019-04-16,70.0,Greed
2019-04-17,71.0,Greed
2019-04-18,70.0,Greed
2019-04-22,71.0,Greed
2019-04-23,75.0,Extreme Greed
2019-04-24,70.0,Greed
2019-04-25,71.0,Greed
2019-04-26,72.0,Greed
2019-04-29,71.0,Greed
2019-04-30,66.0,Greed
2019-05-01,62.0,Greed
2019-05-02,59.0,Greed
2019-05-03,60.0,Greed
2019-05-06,55.0,Greed
2019-05-07,40.0,Fear
2019-05-08,42.0,Fear
2019-05-09,40.0,Fear
2019-05-10,44.0,Fear
2019-05-13,32.0,Fear
2019-05-14,35.0,Fear
2019-05-15,35.0,Fear
2019-05-16,39.0,Fear
2019-05-17,36.0,Fear
2019-05-20,34.0,Fear
2019-05-21,34.0,Fear
2019-05-22,32.0,Fear
2019-05-23,28.0,Fear
2019-05-24,27.0,Fear
2019-05-28,25.0,Fear
2019-05-29,23.0,Extreme Fear
2019-05-30,24.0,Extreme Fear
2019-05-31,24.0,Extreme Fear
2019-06-03,23.0,Extreme Fear
2019-06-04,26.0,Fear
2019-06-05,29.0,Fear
2019-06-06,29.0,Fear
2019-06-07,32.0,Fear
2019-06-10,37.0,Fear
2019-06-11,36.0,Fear
2019-06-12,34.0,Fear
2019-06-13,39.0,Fear
2019-06-14,38.0,Fear
2019-06-17,37.0,Fear
2019-06-18,44.0,Fear
2019-06-19,42.0,Fear
2019-06-20,45.0,Fear
2019-06-21,50.0,Neutral
2019-06-24,50.0,Neutral
2019-06-25,44.0,Fear
2019-06-26,48.0,Fear
2019-06-27,47.0,Fear
2019-06-28,50.0,Neutral
2019-07-01,55.0,Greed
2019-07-02,56.0,Greed
2019-07-03,63.0,Greed
2019-07-05,61.0,Greed
2019-07-08,59.0,Greed
2019-07-09,56.0,Greed
2019-07-10,58.0,Greed
2019-07-11,62.0,Greed
2019-07-12,64.0,Greed
2019-07-15,57.0,Greed
2019-07-16,55.0,Greed
2019-07-17,47.0,Fear
2019-07-18,47.0,Fear
2019-07-19,44.0,Fear
2019-07-22,44.0,Fear
2019-07-23,50.0,Neutral
2019-07-24,57.0,Greed
2019-07-25,55.0,Greed
2019-07-26,60.0,Greed
2019-07-29,58.0,Greed
2019-07-30,53.0,Greed
2019-07-31,48.0,Fear
2019-08-01,43.0,Fear
2019-08-02,36.0,Fear
2019-08-05,22.0,Extreme Fear
2019-08-06,27.0,Fear
2019-08-07,25.0,Fear
2019-08-08,25.0,Fear
2019-08-09,25.0,Fear
2019-08-12,23.0,Extreme Fear
2019-08-13,27.0,Fear
2019-08-14,21.0,Extreme Fear
2019-08-15,19.0,Extreme Fear
2019-08-16,20.0,Extreme Fear
2019-08-19,26.0,Fear
2019-08-20,23.0,Extreme Fear
2019-08-21,25.0,Fear
2019-08-22,25.0,Fear
2019-08-23,18.0,Extreme Fear
2019-08-26,19.0,Extreme Fear
2019-08-27,16.0,Extreme Fear
2019-08-28,18.0,Extreme Fear
2019-08-29,26.0,Fear
2019-08-30,23.0,Extreme Fear
2019-09-03,25.0,Fear
2019-09-04,28.0,Fear
2019-09-05,39.0,Fear
2019-09-06,35.0,Fear
2019-09-09,45.0,Fear
2019-09-10,55.0,Greed
2019-09-11,57.0,Greed
2019-09-12,65.0,Greed
2019-09-13,68.0,Greed
2019-09-16,67.0,Greed
2019-09-17,66.0,Greed
2019-09-18,66.0,Greed
2019-09-19,63.0,Greed
2019-09-20,58.0,Greed
2019-09-23,59.0,Greed
2019-09-24,54.0,Greed
2019-09-25,59.0,Greed
2019-09-26,57.0,Greed
2019-09-27,52.0,Greed
2019-09-30,54.0,Greed
2019-10-01,48.0,Fear
2019-10-02,34.0,Fear
2019-10-03,29.0,Fear
2019-10-04,32.0,Fear
2019-10-07,30.0,Fear
2019-10-08,29.0,Fear
2019-10-09,30.0,Fear
2019-10-10,36.0,Fear
2019-10-11,42.0,Fear
2019-10-14,42.0,Fear
2019-10-15,42.0,Fear
2019-10-16,47.0,Fear
2019-10-17,50.0,Neutral
2019-10-18,50.0,Neutral
2019-10-21,56.0,Greed
2019-10-22,59.0,Greed
2019-10-23,55.0,Greed
2019-10-24,57.0,Greed
2019-10-25,62.0,Greed
2019-10-28,67.0,Greed
2019-10-29,71.0,Greed
2019-10-30,75.0,Extreme Greed
2019-10-31,72.0,Greed
2019-11-01,80.0,Extreme Greed
2019-11-04,86.0,Extreme Greed
2019-11-05,89.0,Extreme Greed
2019-11-06,88.0,Extreme Greed
2019-11-07,91.0,Extreme Greed
2019-11-08,91.0,Extreme Greed
2019-11-11,89.0,Extreme Greed
2019-11-12,88.0,Extreme Greed
2019-11-13,87.0,Extreme Greed
2019-11-14,83.0,Extreme Greed
2019-11-15,87.0,Extreme Greed
2019-11-18,83.0,Extreme Greed
2019-11-19,80.0,Extreme Greed
2019-11-20,74.0,Greed
2019-11-21,70.0,Greed
2019-11-22,69.0,Greed
2019-11-25,70.0,Greed
2019-11-26,69.0,Greed
2019-11-27,78.0,Extreme Greed
2019-11-29,78.0,Extreme Greed
2019-12-02,74.0,Greed
2019-12-03,63.0,Greed
2019-12-04,67.0,Greed
2019-12-05,67.0,Greed
2019-12-06,70.0,Greed
2019-12-09,68.0,Greed
2019-12-10,65.0,Greed
2019-12-11,61.0,Greed
2019-12-12,74.0,Greed
2019-12-13,75.0,Extreme Greed
2019-12-16,82.0,Extreme Greed
2019-12-17,85.0,Extreme Greed
2019-12-18,87.0,Extreme Greed
2019-12-19,90.0,Extreme Greed
2019-12-20,91.0,Extreme Greed
2019-12-23,92.0,Extreme Greed
2019-12-24,91.0,Extreme Greed
2019-12-26,93.0,Extreme Greed
2019-12-27,91.0,Extreme Greed
2019-12-30,90.0,Extreme Greed
2019-12-31,93.0,Extreme Greed
2020-01-02,97.0,Extreme Greed
2020-01-03,93.0,Extreme Greed
2020-01-06,93.0,Extreme Greed
2020-01-07,89.0,Extreme Greed
2020-01-08,92.0,Extreme Greed
2020-01-09,93.0,Extreme Greed
2020-01-10,91.0,Extreme Greed
2020-01-13,90.0,Extreme Greed
2020-01-14,90.0,Extreme Greed
2020-01-15,86.0,Extreme Greed
2020-01-16,89.0,Extreme Greed
2020-01-17,89.0,Extreme Greed
2020-01-21,81.0,Extreme Greed
2020-01-22,74.0,Greed
2020-01-23,68.0,Greed
2020-01-24,62.0,Greed
2020-01-27,47.0,Fear
2020-01-28,53.0,Greed
2020-01-29,52.0,Greed
2020-01-30,56.0,Greed
2020-01-31,44.0,Fear
2020-02-03,46.0,Fear
2020-02-04,55.0,Greed
2020-02-05,60.0,Greed
2020-02-06,63.0,Greed
2020-02-07,57.0,Greed
2020-02-10,57.0,Greed
2020-02-11,56.0,Greed
2020-02-12,60.0,Greed
2020-02-13,58.0,Greed
2020-02-14,55.0,Greed
2020-02-18,51.0,Greed
2020-02-19,53.0,Greed
2020-02-20,49.0,Fear
2020-02-21,44.0,Fear
2020-02-24,29.0,Fear
2020-02-25,22.0,Extreme Fear
2020-02-26,21.0,Extreme Fear
2020-02-27,13.0,Extreme Fear
2020-02-28,10.0,Extreme Fear
2020-03-02,12.0,Extreme Fear
2020-03-03,10.0,Extreme Fear
2020-03-04,15.0,Extreme Fear
2020-03-05,9.0,Extreme Fear
2020-03-06,6.0,Extreme Fear
2020-03-09,3.0,Extreme Fear
2020-03-10,6.0,Extreme Fear
2020-03-11,4.0,Extreme Fear
2020-03-12,2.0,Extreme Fear
2020-03-13,5.0,Extreme Fear
2020-03-16,3.0,Extreme Fear
2020-03-17,5.0,Extreme Fear
2020-03-18,5.0,Extreme Fear
2020-03-19,7.0,Extreme Fear
2020-03-20,8.0,Extreme Fear
2020-03-23,5.0,Extreme Fear
2020-03-24,13.0,Extreme Fear
2020-03-25,17.0,Extreme Fear
2020-03-26,22.0,Extreme Fear
2020-03-27,23.0,Extreme Fear
2020-03-30,25.0,Fear
2020-03-31,25.0,Fear
2020-04-01,22.0,Extreme Fear
2020-04-02,22.0,Extreme Fear
2020-04-03,22.0,Extreme Fear
2020-04-06,32.0,Fear
2020-04-07,26.0,Fear
2020-04-08,33.0,Fear
2020-04-09,43.0,Fear
2020-04-13,36.0,Fear
2020-04-14,45.0,Fear
2020-04-15,41.0,Fear
2020-04-16,42.0,Fear
2020-04-17,44.0,Fear
2020-04-20,41.0,Fear
2020-04-21,40.0,Fear
2020-04-22,41.0,Fear
2020-04-23,40.0,Fear
2020-04-24,39.0,Fear
2020-04-27,43.0,Fear
2020-04-28,41.0,Fear
2020-04-29,46.0,Fear
2020-04-30,47.0,Fear
2020-05-01,42.0,Fear
2020-05-04,44.0,Fear
2020-05-05,44.0,Fear
2020-05-06,40.0,Fear
2020-05-07,41.0,Fear
2020-05-08,45.0,Fear
2020-05-11,44.0,Fear
2020-05-12,38.0,Fear
2020-05-13,38.0,Fear
2020-05-14,39.0,Fear
2020-05-15,39.0,Fear
2020-05-18,49.0,Fear
2020-05-19,47.0,Fear
2020-05-20,53.0,Greed
2020-05-21,52.0,Greed
2020-05-22,50.0,Neutral
2020-05-26,51.0,Greed
2020-05-27,54.0,Greed
2020-05-28,50.0,Neutral
2020-05-29,52.0,Greed
2020-06-01,58.0,Greed
2020-06-02,58.0,Greed
2020-06-03,61.0,Greed
2020-06-04,62.0,Greed
2020-06-05,66.0,Greed
2020-07-09,53.0,Greed
2020-07-10,59.0,Greed
2020-07-13,53.0,Greed
2020-07-14,62.0,Greed
2020-07-15,63.0,Greed
2020-07-16,62.0,Greed
2020-07-17,63.0,Greed
2020-07-20,66.0,Greed
2020-07-21,65.0,Greed
2020-07-22,65.0,Greed
2020-07-23,68.0,Greed
2020-07-24,63.0,Greed
2020-07-27,66.0,Greed
2020-07-28,62.0,Greed
2020-07-29,65.0,Greed
2020-07-30,61.0,Greed
2020-07-31,65.0,Greed
2020-08-03,67.0,Greed
2020-08-04,68.0,Greed
2020-08-05,70.0,Greed
2020-08-06,74.0,Greed
2020-08-07,72.0,Greed
2020-08-10,75.0,Extreme Greed
2020-08-11,71.0,Greed
2020-08-12,74.0,Greed
2020-08-13,72.0,Greed
2020-08-14,72.0,Greed
2020-08-17,71.0,Greed
2020-08-18,70.0,Greed
2020-08-19,68.0,Greed
2020-08-20,70.0,Greed
2020-08-21,70.0,Greed
2020-08-24,73.0,Greed
2020-08-25,74.0,Greed
2020-08-26,75.0,Extreme Greed
2020-08-27,76.0,Extreme Greed
2020-08-28,78.0,Extreme Greed
2020-08-31,74.0,Greed
2020-09-01,77.0,Extreme Greed
2020-09-02,78.0,Extreme Greed
2020-09-03,58.0,Greed
2020-09-04,59.0,Greed
2020-09-08,54.0,Greed
2020-09-09,66.0,Greed
2020-09-10,59.0,Greed
2020-09-11,58.0,Greed
2020-09-14,59.0,Greed
2020-09-15,59.0,Greed
2020-09-16,56.0,Greed
2020-09-17,53.0,Greed
2020-09-18,52.0,Greed
2020-09-21,51.0,Greed
2020-09-22,52.0,Greed
2020-09-23,46.0,Fear
2020-09-24,48.0,Fear
2020-09-25,49.0,Fear
2020-09-28,50.0,Neutral
2020-09-29,44.0,Fear
2020-09-30,45.0,Fear
2020-10-01,41.0,Fear
2020-10-02,40.0,Fear
2020-10-05,45.0,Fear
2020-10-06,44.0,Fear
2020-10-07,51.0,Greed
2020-10-08,53.0,Greed
2020-10-09,55.0,Greed
2020-10-12,60.0,Greed
2020-10-13,56.0,Greed
2020-10-14,55.0,Greed
2020-10-15,59.0,Greed
2020-10-16,62.0,Greed
2020-10-19,59.0,Greed
2020-10-20,58.0,Greed
2020-10-21,63.0,Greed
2020-10-22,69.0,Greed
2020-10-23,67.0,Greed
2020-10-26,44.0,Fear
2020-10-27,47.0,Fear
2020-10-28,33.0,Fear
2020-10-29,33.0,Fear
2020-10-30,29.0,Fear
2020-11-02,25.0,Fear
2020-11-03,32.0,Fear
2020-11-04,36.0,Fear
2020-11-05,41.0,Fear
2020-11-06,40.0,Fear
2020-11-09,54.0,Greed
2020-11-10,58.0,Greed
2020-11-11,66.0,Greed
2020-11-12,55.0,Greed
2020-11-13,59.0,Greed
2020-11-16,71.0,Greed
2020-11-17,67.0,Greed
2020-11-18,63.0,Greed
2020-11-19,64.0,Greed
2020-11-20,62.0,Greed
2020-11-23,75.0,Extreme Greed
2020-11-24,88.0,Extreme Greed
2020-11-25,91.0,Extreme Greed
2020-11-27,92.0,Extreme Greed
2020-11-30,88.0,Extreme Greed
2020-12-01,85.0,Extreme Greed
2020-12-02,87.0,Extreme Greed
2020-12-03,85.0,Extreme Greed
2020-12-04,89.0,Extreme Greed
2020-12-07,88.0,Extreme Greed
2020-12-08,82.0,Extreme Greed
2020-12-09,80.0,Extreme Greed
2020-12-10,77.0,Extreme Greed
2020-12-11,76.0,Extreme Greed
2020-12-14,69.0,Greed
2020-12-15,69.0,Greed
2020-12-16,69.0,Greed
2020-12-17,71.0,Greed
2020-12-18,63.0,Greed
2020-12-21,63.0,Greed
2020-12-22,59.0,Greed
2020-12-23,57.0,Greed
2020-12-24,54.0,Greed
2020-12-28,54.0,Greed
2020-12-29,52.0,Greed
2020-12-30,50.0,Neutral
2020-12-31,51.0,Greed
2021-01-04,52.0,Greed
2021-01-05,53.0,Greed
2021-01-06,59.0,Greed
2021-01-07,66.0,Greed
2021-01-08,71.0,Greed
2021-01-11,65.0,Greed
2021-01-12,69.0,Greed
2021-01-13,70.0,Greed
2021-01-14,67.0,Greed
2021-01-15,60.0,Greed
2021-01-19,61.0,Greed
2021-01-20,69.0,Greed
2021-01-21,63.0,Greed
2021-01-22,69.0,Greed
2021-01-25,66.0,Greed
2021-01-26,62.0,Greed
2021-01-27,40.0,Fear
2021-01-28,45.0,Fear
2021-01-29,38.0,Fear
2021-02-01,39.0,Fear
2021-02-02,58.0,Greed
2021-02-03,50.0,Neutral
2021-02-04,60.0,Greed
2021-02-05,60.0,Greed
2021-02-08,56.0,Greed
2021-02-09,65.0,Greed
2021-02-10,63.0,Greed
2021-02-11,66.0,Greed
2021-02-12,73.0,Greed
2021-02-16,71.0,Greed
2021-02-17,66.0,Greed
2021-02-18,59.0,Greed
2021-02-19,59.0,Greed
2021-02-22,58.0,Greed
2021-02-23,57.0,Greed
2021-02-24,63.0,Greed
2021-02-25,58.0,Greed
2021-02-26,48.0,Fear
2021-03-01,58.0,Greed
2021-03-02,50.0,Neutral
2021-03-03,43.0,Fear
2021-03-04,37.0,Fear
2021-03-05,41.0,Fear
2021-03-08,39.0,Fear
2021-03-09,43.0,Fear
2021-03-10,45.0,Fear
2021-03-11,50.0,Neutral
2021-03-12,53.0,Greed
2021-03-15,56.0,Greed
2021-03-16,54.0,Greed
2021-03-17,57.0,Greed
2021-03-18,52.0,Greed
2021-03-19,50.0,Neutral
2021-03-22,50.0,Neutral
2021-03-23,41.0,Fear
2021-03-24,37.0,Fear
2021-03-25,37.0,Fear
2021-03-26,37.0,Fear
2021-03-29,39.0,Fear
2021-03-30,42.0,Fear
2021-03-31,44.0,Fear
2021-04-01,46.0,Fear
2021-04-05,54.0,Greed
2021-04-06,53.0,Greed
2021-04-07,52.0,Greed
2021-04-08,48.0,Fear
2021-04-09,47.0,Fear
2021-04-12,43.0,Fear
2021-04-13,43.0,Fear
2021-04-14,39.0,Fear
2021-04-15,47.0,Fear
2021-04-16,51.0,Greed
2021-04-19,45.0,Fear
2021-04-20,42.0,Fear
2021-04-21,49.0,Fear
2021-04-22,46.0,Fear
2021-04-23,47.0,Fear
2021-04-26,50.0,Neutral
2021-04-27,54.0,Greed
2021-04-28,52.0,Greed
2021-04-29,56.0,Greed
2021-04-30,46.0,Fear
2021-05-03,47.0,Fear
2021-05-04,43.0,Fear
2021-05-05,43.0,Fear
2021-05-06,43.0,Fear
2021-05-07,48.0,Fear
2021-05-10,44.0,Fear
2021-05-11,42.0,Fear
2021-05-12,26.0,Fear
2021-05-13,34.0,Fear
2021-05-14,35.0,Fear
2021-05-17,36.0,Fear
2021-05-18,34.0,Fear
2021-05-19,32.0,Fear
2021-05-20,32.0,Fear
2021-05-21,29.0,Fear
2021-05-24,29.0,Fear
2021-05-25,26.0,Fear
2021-05-26,28.0,Fear
2021-05-27,30.0,Fear
2021-05-28,31.0,Fear
2021-06-01,35.0,Fear
2021-06-02,42.0,Fear
2021-06-03,40.0,Fear
2021-06-04,41.0,Fear
2021-06-07,44.0,Fear
2021-06-08,46.0,Fear
2021-06-09,48.0,Fear
2021-06-10,48.0,Fear
2021-06-11,51.0,Greed
2021-06-14,54.0,Greed
2021-06-15,52.0,Greed
2021-06-16,44.0,Fear
2021-06-17,42.0,Fear
2021-06-18,31.0,Fear
2021-06-21,32.0,Fear
2021-06-22,32.0,Fear
2021-06-23,33.0,Fear
2021-06-24,36.0,Fear
2021-06-25,41.0,Fear
2021-06-28,41.0,Fear
2021-06-29,39.0,Fear
2021-06-30,38.0,Fear
2021-07-01,38.0,Fear
2021-07-02,38.0,Fear
2021-07-06,33.0,Fear
2021-07-07,33.0,Fear
2021-07-08,26.0,Fear
2021-07-09,31.0,Fear
2021-07-12,31.0,Fear
2021-07-13,31.0,Fear
2021-07-14,29.0,Fear
2021-07-15,27.0,Fear
2021-07-16,26.0,Fear
2021-07-19,8.0,Extreme Fear
2021-07-20,20.0,Extreme Fear
